name,artist,popularity,duration_ms,played_at
She's A Rainbow,The Rolling Stones,58,253075,2025-01-26T19:33:47.559Z
Nobody But Me,The Human Beinz,52,140440,2025-01-26T19:28:25.493Z
Nobody But Me,The Human Beinz,52,140440,2025-01-26T19:26:39.962Z
Femininomenon,Chappell Roan,78,219710,2025-01-26T14:13:35.527Z
Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift,74,229477,2025-01-26T14:12:23.327Z
One Of Your Girls,Troye Sivan,74,181481,2025-01-26T14:08:35.270Z
Training Season,Dua Lipa,80,209487,2025-01-26T14:05:35.471Z
Slow It Down,Benson Boone,84,161831,2025-01-26T14:02:07.567Z
Pink Pony Club,Chappell Roan,44,258034,2025-01-26T13:59:27.176Z
Someone New,Hozier,71,222813,2025-01-26T13:55:10.677Z
Taste,Sabrina Carpenter,90,157279,2025-01-26T13:51:29.576Z
BIRDS OF A FEATHER,Billie Eilish,96,210373,2025-01-26T13:48:53.761Z
Thatâ€™s So True,Gracie Abrams,96,166300,2025-01-26T13:45:25.070Z
Red Wine Supernova,Chappell Roan,82,192720,2025-01-26T13:42:40.254Z
Messy,Lola Young,85,284066,2025-01-26T13:39:29.110Z
Do I Wanna Know? - Live At the BBC,Hozier,75,257560,2025-01-26T13:34:46.787Z
LABOUR - the cacophony,Paris Paloma,73,247445,2025-01-26T13:29:23.430Z
Brazil,Declan McKenna,79,252306,2025-01-26T13:25:17.592Z
HOT TO GO!,Chappell Roan,49,184841,2025-01-26T13:21:06.994Z
Espresso,Sabrina Carpenter,88,175459,2025-01-26T13:11:53.158Z
One More Night,Maroon 5,77,219546,2025-01-26T13:03:44.400Z
Jump - 2015 Remaster,Van Halen,75,241599,2025-01-26T13:00:06.415Z
Kung Fu Fighting,Carl Douglas,69,197935,2025-01-26T12:56:06.385Z
Another One Bites The Dust - Remastered 2011,Queen,80,214653,2025-01-26T12:48:04.992Z
Stayin' Alive - From "Saturday Night Fever" Soundtrack,Bee Gees,76,285373,2025-01-26T12:44:31.861Z
Eye of the Tiger,Survivor,63,243773,2025-01-26T12:39:48.100Z
Livin' On A Prayer,Bon Jovi,83,249293,2025-01-26T12:35:45.869Z
Highway to Hell,AC/DC,83,208400,2025-01-26T12:31:38.198Z
A Thousand Miles,Vanessa Carlton,75,237493,2025-01-26T12:28:11.402Z
Last Friday Night (T.G.I.F.),Katy Perry,75,230733,2025-01-26T12:24:15.502Z
Walking On Sunshine,Katrina & The Waves,76,238733,2025-01-26T12:20:26.300Z
Take on Me,a-ha,83,225280,2025-01-26T12:16:29.208Z
Hall of Fame (feat. will.i.am),The Script,80,202533,2025-01-26T12:12:45.503Z
Life is a Highway,Rascal Flatts,70,276320,2025-01-26T12:09:24.509Z
Dancing in the Moonlight,Toploader,61,233373,2025-01-26T12:04:49.711Z
exiled,prazdniny,5,152470,2025-01-23T12:15:17.305Z
colorblind,prazdniny,8,229888,2025-01-23T09:22:45.060Z
blackout,prazdniny,8,217029,2025-01-23T09:18:56.648Z
500 days of a fall,prazdniny,18,217641,2025-01-23T09:15:21.352Z
Now Or Never - Liam Mockridge Remix,Zimmer90,33,222348,2025-01-23T09:09:58.161Z
Now Or Never - Liam Mockridge Remix,Zimmer90,33,222348,2025-01-21T10:45:11.113Z
In Your Arms,Zimmer90,36,197448,2025-01-21T10:18:21.353Z
For You,Zimmer90,40,160850,2025-01-21T10:15:05.565Z
Love Letters,Zimmer90,41,149643,2025-01-21T10:11:27.788Z
Under the Moon,Zimmer90,44,172786,2025-01-21T10:08:59.687Z
Movin',Zimmer90,47,213818,2025-01-21T10:06:08.495Z
Movin',Zimmer90,47,213818,2025-01-20T17:33:02.609Z
Drowning,Zimmer90,50,174725,2025-01-20T10:11:46.702Z
feel like we used to,Zimmer90,54,176000,2025-01-20T10:08:53.504Z
Follow (I will never let you go),Zimmer90,55,170557,2025-01-20T10:05:59.009Z
